Title,IMDB id,Year,Rating,Genre,Top_cast
Udaan,tt1639426,2010,8.1,Drama,"Rajat BarmechaRohan Singh, Ronit RoyBhairav Singh, Manjot SinghManinder Singh"
Lage Raho Munna Bhai,tt0456144,2006,8.0,"Comedy, Drama, Romance","Sanjay DuttMurli Prasad Sharma (Munna Bhai), Arshad WarsiSarkeshwar (Circuit), Vidya BalanRJ Jhanvi Sahni"
Vishwaroopam,tt2199711,2013,7.9,"Action, Thriller","Pooja KumarDr. Nirupama, Miles AndersonJohn Dawkins, Kamal HaasanVishwanathan…"
Raees,tt3405236,2017,6.7,"Action, Crime, Drama","Shah Rukh KhanRaees, Sunny LeoneLaila, Nawazuddin SiddiquiIPS Majmudar(as Nawazuddin Siddique)"
Talaash,tt1787988,2012,7.2,"Crime, Drama, Mystery","Aamir KhanSurjan Singh Shekhawat, Kareena KapoorRosie, Rani MukerjiRoshni Shekhawat"
Vicky Donor,tt2317337,2012,7.8,"Comedy, Romance","Ayushmann KhurranaVicky Arora, Yami GautamAshima Roy(as Yaami Gautam), Annu KapoorDr. Baldev Chaddha"
Ra.One,tt1562871,2011,4.8,"Action, Adventure, Sci-Fi","Shah Rukh KhanShekhar…, Arjun RampalRa.One, Kareena KapoorSonia S. Subramanium"
Ohm Shanti Ohm,tt1024943,2007,6.7,"Action, Comedy, Drama","Shah Rukh KhanOm Prakash Makhija…, Deepika PadukoneShantipriya…, Arjun RampalMukesh 'Mike' Mehra"
Rockstar,tt1839596,2011,7.7,"Drama, Music, Romance","Ranbir KapoorJanardan Jakhar…, Nargis FakhriHeer Kaur, Shammi KapoorUstad Jameel Khan"
Devdas,tt0238936,2002,7.5,"Drama, Musical, Romance","Shah Rukh KhanDevdas Mukherji(as Shahrukh Khan), Madhuri DixitChandramukhi, Aishwarya Rai BachchanParvati 'Paro'(as Aishwarya Rai)"
Uri: The Surgical Strike,tt8291224,2019,8.2,"Action, Drama, History","Vicky KaushalMajor Vihan Singh Shergill, Paresh RawalGovind Bhardwaj, Mohit RainaMajor Karan Kashyap"
This Youth Is Crazy,tt2178470,2013,7.2,"Comedy, Drama, Musical","Ranbir KapoorKabir Thapar (Bunny), Deepika PadukoneNaina Talwar, Aditya Roy KapoorAvinash (Avi)"
Sultan,tt4832640,2016,7.0,"Action, Drama, Romance","Salman KhanSultan Ali Khan, Anushka SharmaAarfa, Randeep HoodaFateh Singh"
Pretty in Pink,tt0091790,1986,6.7,"Comedy, Drama, Romance","Molly RingwaldAndie, Jon CryerDuckie, Harry Dean StantonJack"
Dear Zindagi,tt5946128,2016,7.4,"Drama, Romance","Alia BhattKaira, Shah Rukh KhanDr. Jehangir Khan, Kunal KapoorRaghuvendra"
Don Jon,tt2229499,2013,6.5,"Comedy, Drama, Romance","Joseph Gordon-LevittJon, Scarlett JohanssonBarbara, Julianne MooreEsther"
Happy New Year,tt2461132,2014,5.0,"Action, Comedy, Crime","Shah Rukh KhanChandramohan 'Charlie' Sharma, Deepika PadukoneMohini Joshi, Abhishek BachchanNandu Bhide…"
Black Mirror,tt2085059,2011– ,8.7,"Drama, Mystery, Sci-Fi","Wunmi MosakuKatie…2 eps • 2016–20232 episodes • 2016–2023, Monica DolanCS Linda Grace…2 eps • 2019–20232 episodes • 2019–2023, Daniel LapaineDawson…2 eps • 2011–20172 episodes • 2011–2017"
English Vinglish,tt2181931,2012,7.8,"Comedy, Drama, Family","SrideviShashi Godbole, Adil HussainSatish Godbole, Mehdi NebbouLaurent"
Race 3,tt7431594,2018,1.9,"Action, Crime, Thriller","Anil KapoorShamsher, Salman KhanSikander, Bobby DeolYash"
Paan Singh Tomar,tt1620933,2012,8.2,"Action, Biography, Crime","Irrfan KhanPaan Singh Tomar(as Irrfan), Mahie GillIndra Singh Tomar, Rajesh AbhayPaan Singh Gang's Pehalwan"
Main Hoon Na,tt0347473,2004,7.0,"Action, Comedy, Drama","Shah Rukh KhanMaj. Ram Prasad Sharma, Sushmita SenChandni Chopra, Suniel ShettyRaghavan Datta(as Sunil Shetty)"
Dilwale,tt4535650,2015,5.1,"Action, Comedy, Drama","Shah Rukh KhanRaj…, KajolMeera Malik, Varun DhawanVeer"
M.S. Dhoni: The Untold Stor,tt4169250,2016,8.0,"Biography, Drama, Sport","Sushant Singh RajputM. S. Dhoni, Kiara AdvaniSakshi Singh Dhoni nee Rawat, Anupam KherPan Singh Dhoni"
Fanaa,tt0439662,2006,7.1,"Action, Drama, Romance","Aamir KhanRehan Qadri, KajolZooni Ali Beg, Rishi KapoorZulfikar Ali Beg"
Bajirao Mastani,tt3735246,2015,7.2,"Action, Drama, History","Ranveer SinghPeshwa Bajirao Ballal, Deepika PadukoneMastani, Priyanka Chopra JonasKashibai(as Priyanka Chopra)"
Jodhaa Akbar,tt0449994,2008,7.5,"Action, Drama, History","Hrithik RoshanJalaluddin Mohammad Akbar, Aishwarya Rai BachchanJodhaa Bai, Sonu SoodSujamal"
Raanjhanaa,tt2359810,2013,7.6,"Drama, Romance","DhanushKundan Shankar, Sonam KapoorZoya Haider, Mohd. Zeeshan AyyubMurari(as Mohammed Zeeshan Ayyub)"
Ek Tha Tiger,tt2016894,2012,5.6,"Action, Adventure, Romance","Salman KhanTiger, Katrina KaifZoya, Girish KarnadShenoy"
Talvar,tt4934950,2015,8.1,"Crime, Drama, Mystery","Irrfan KhanAshwin Kumar, Konkona Sen SharmaNutan Tandon, Neeraj KabiRamesh Tandon"
Dabangg,tt1620719,2010,6.2,"Action, Comedy, Crime","Salman KhanInspector Chulbul Pandey, Sonakshi SinhaRajjo, Sonu SoodChedi Singh"
Piku,tt3767372,2015,7.6,"Comedy, Drama","Deepika PadukonePiku Banerjee, Amitabh BachchanBhaskor Banerjee, Irrfan KhanRana(as Irrfan)"
Wake Up Sid,tt1324059,2009,7.6,"Comedy, Drama, Romance","Ranbir KapoorSid Mehra, Konkona Sen SharmaAisha Banerjee, Supriya PathakSarita Mehra"
Mohabbatein,tt0213890,2000,7.0,"Drama, Musical, Romance","Amitabh BachchanPrincipal Narayan Shankar, Shah Rukh KhanRaj Aryan Malhotra, Uday ChopraVicky"
Delhi Belly,tt1934231,2011,7.5,"Action, Comedy, Crime","Imran KhanTashi Malhotra…, Vir DasArup, Kunaal Roy KapurNitin"
Dil Se..,tt0164538,1998,7.5,"Drama, Romance","Shah Rukh KhanAmarkanth Varma, Manisha KoiralaMeghna, Preity G ZintaPreeti Nair(as Preity Zinta)"
Aashiqui 2,tt2203308,2013,7.1,"Drama, Music, Musical","Aditya Roy KapoorRahul Jaykar, Shraddha KapoorArohi Keshav Shirke, Shaad RandhawaVivek"
Padmaavat,tt5935704,2018,7.1,"Drama, History, Romance","Deepika PadukonePadmavati, Ranveer SinghSultan Alauddin Khilji, Shahid KapoorMaharawal Ratan Singh"
Tanu Weds Manu Returns,tt2140465,2015,7.6,"Comedy, Drama, Romance","Kangana RanautTanuja 'Tanu' Trivedi…, MadhavanManoj 'Manu' Sharma, Jimmy ShergillRaja Awasthi"
Baazigar,tt0106333,1993,7.6,"Crime, Drama, Musical","Shah Rukh KhanAjay Sharma, KajolPriya, Dalip TahilMadan Chopra"
Highway to Heaven,tt0086730,1984–1989,6.8,"Drama, Fantasy","Michael LandonJonathan Smith111 eps • 1984–1989111 episodes • 1984–1989, Victor FrenchMark Gordon111 eps • 1984–1989111 episodes • 1984–1989, James TroeshScotty Wilson8 eps • 1984–19868 episodes • 1984–1986"
Udta Punjab,tt4434004,2016,7.7,"Action, Crime, Drama","Shahid KapoorTommy Singh, Alia BhattKumari Pinky, Kareena KapoorPreet Sahani"
Anand,tt0066763,1971,8.1,"Drama, Musical","Rajesh KhannaAnand Saigal, Amitabh BachchanDr. Bhaskar K. Bannerjee…, Sumita SanyalRenu"
The Holiday,tt0457939,2006,6.9,"Comedy, Romance","Kate WinsletIris, Cameron DiazAmanda, Jude LawGraham"
Sarfarosh,tt0200087,1999,8.1,"Action, Crime, Drama","Naseeruddin ShahGulfam Hassan, Aamir KhanAjay Singh Rathod, Sonali BendreSeema"
Kaabil,tt5460276,2017,7.1,"Action, Crime, Drama","Hrithik RoshanRohan Bhatnagar, Yami GautamSupriya Bhatnagar, Ronit RoyMadhavrao Shellar"
Stree,tt8108202,2018,7.5,"Comedy, Horror","Ashish ChhipaA.C. Vastav, Rajkummar RaoVicky, Shraddha KapoorUnnamed Woman"
Gully Boy,tt2395469,2019,7.9,"Drama, Music, Romance","Ranveer SinghMurad Ahmed…, Alia BhattSafeena Firdausi, Siddhant ChaturvediMC Sher"
Kick-Ass,tt1250777,2010,7.6,"Action, Comedy, Crime","Aaron Taylor-JohnsonDave Lizewski(as Aaron Johnson)…, Nicolas CageDamon Macready…, Chloë Grace MoretzMindy Macready…"
2 States,tt2372678,2014,6.9,"Comedy, Drama, Romance","Arjun KapoorKrish, Alia BhattAnanya, Amrita SinghKavita Malhotra - Krish's Mother"
Dhoom:2,tt0441048,2006,6.5,"Action, Crime, Thriller","Hrithik RoshanAryan…, Abhishek BachchanJai Dixit, Aishwarya Rai BachchanSunehri(as Aishwarya Rai)"
Badhaai Ho,tt7725596,2018,7.9,"Comedy, Drama","Ayushmann KhurranaNakul Kaushik, Neena GuptaPriyamvada Kaushik, Gajraj RaoJeetender Kaushik"
Zero Dark Thirty,tt1790885,2012,7.4,"Drama, History, Thriller","Jessica ChastainMaya, Joel EdgertonPatrick - Squadron Team Leader, Chris PrattJustin - DEVGRU"
Gabbar Is Back,tt2424988,2015,7.0,"Action, Crime, Drama","Akshay KumarProf. Aditya Singh Rajput…, Shruti HaasanShruti(as Shruti K. Haasan), Kareena KapoorSunaina Singh Rajput"
Madras Cafe,tt2855648,2013,7.6,"Action, Drama, Thriller","John AbrahamVikram Singh, Nargis FakhriJaya Sahni, Raashi KhannaRuby(as Rashi Khanna)"
Darr,tt0109555,1993,7.6,"Action, Drama, Romance","Juhi ChawlaKiran Awasti, Sunny DeolSunil Malhotra, Shah Rukh KhanRahul Mehra"
Agneepath,tt1849718,2012,6.9,"Action, Crime, Drama","Hrithik RoshanVijay Deenanath Chauhan, Priyanka Chopra JonasKaali(as Priyanka Chopra), Sanjay DuttKancha Cheena"
Rustom,tt5165344,2016,7.0,"Crime, Drama, Thriller","Akshay KumarRustom Pavri, Ileana D'CruzCynthia Pavri, Arjan BajwaVikram Makhija"
Bodyguard,tt7493974,2018,8.1,"Crime, Drama, Thriller","Richard MaddenDavid Budd7 eps • 20187 episodes • 2018, Sophie RundleVicky Budd6 eps • 20186 episodes • 2018, Vincent FranklinMike Travis6 eps • 20186 episodes • 2018"
Kapoor & Sons,tt4900716,2016,7.7,"Comedy, Drama, Family","Rishi KapoorAmarjeet Kapoor, Rajat KapoorHarsh Kapoor - Dad, Ratna Pathak ShahSunita Kapoor - Mom(as Ratna Pathak)"
Khosla Ka Ghosla!,tt0466460,2006,8.2,"Comedy, Crime, Drama","Anupam KherKamal Kishore Khosla, Boman IraniKishan Khurana, Parvin DabasChiraunjilal 'Cherry' Khosla"
Kabir Singh,tt8983202,2019,7.0,"Action, Drama, Romance","Shahid KapoorKabir Rajdheer Singh, Kiara AdvaniPreeti Sikka, Nikita DuttaJia Sharma"
Chitty Chitty Bang Bang,tt0062803,1968,6.9,"Adventure, Family, Fantasy","Dick Van DykeCaractacus Potts, Sally Ann HowesTruly Scrumptious, Lionel JeffriesGrandpa Potts"
Guru,tt0499375,2007,7.7,Drama,"Mithun ChakrabortyManikdas Gupta, Abhishek BachchanGurukant Desai, Aishwarya Rai BachchanSujata(as Aishwarya Rai)"
Raazi,tt7098658,2018,7.7,"Action, Drama, Thriller","Alia BhattSehmat Khan, Vicky KaushalIqbal Syed, Rajit KapoorHidayat Khan"
Jo Jeeta Wohi Sikandar,tt0104561,1992,8.1,"Comedy, Drama, Romance","Aamir KhanSanjaylal Sharma, Ayesha JhulkaAnjali, Deepak TijoriShekhar Malhotra"
Badlapur,tt3678782,2015,7.4,"Action, Crime, Drama","Varun DhawanRaghav Purohit, Nawazuddin SiddiquiLiak Tungekar, Yami GautamMisha"
Masaan,tt4635372,2015,8.1,Drama,"Richa ChadhaDevi Pathak(as Richa Chadda), Sanjay MishraVidyadhar Pathak, Vicky KaushalDeepak Chaudhary"
Namastey London,tt0795434,2007,7.1,"Comedy, Drama, Romance","Akshay KumarArjun Ballu Singh, Katrina KaifJasmeet 'Jazz' M. Malhotra, Rishi KapoorManmohan Malhotra"
Tiger Zinda Hai,tt5956100,2017,5.9,"Action, Adventure, Thriller","Salman KhanTiger…, Katrina KaifZoya, Anupriya GoenkaPoorna"
Rock On!!,tt1230165,2008,7.7,"Drama, Music","Arjun RampalJoseph 'Joe' Mascarenhas, Farhan AkhtarAditya 'Adi' Shroff, Luke KennyRob Nancy"
Bhool Bhulaiyaa,tt0995031,2007,7.4,"Comedy, Horror, Mystery","Akshay KumarDr. Aditya Shrivastav, Vidya BalanAvni Chaturvedi, Shiney AhujaSiddharth Chaturvedi"
Koi... Mil Gaya,tt0254481,2003,7.1,"Action, Drama, Fantasy","RekhaSonia Mehra, Hrithik RoshanRohit Mehra, Preity G ZintaNisha(as Preity Zinta)"
The Heart Is Crazy,tt0118983,1997,7.0,"Comedy, Drama, Musical","Shah Rukh KhanRahul, Madhuri DixitPooja, Karisma KapoorNisha"
Neerja,tt5286444,2016,7.6,"Biography, Drama, Thriller","Sonam KapoorNeerja Bhanot, Shabana AzmiRama Bhanot, Yogendra TikkuHarish Bhanot"
Ae Dil Hai Mushkil,tt4559006,2016,5.8,"Drama, Music, Musical","Ranbir KapoorAyan Sanger, Aishwarya Rai BachchanSaba, Anushka SharmaAlizeh"
Lakshya,tt0323013,2004,7.8,"Action, Drama, Romance","Hrithik RoshanKaran Shergill, Preity G ZintaRomila 'Romi' Dutta(as Preity Zinta), Amitabh BachchanCol. Sunil Damle"
Pyaar Ka Punchnama,tt1926313,2011,7.6,"Comedy, Drama, Romance","Kartik AaryanRajat(as Kartik Tiwari)…, Ashish ChhipaJeet Sharma, Raayo S. BakhirtaVikrant Choudhary"
Hindi Medium,tt5764096,2017,7.8,"Comedy, Drama","Irrfan KhanRaj Batra, Saba QamarMita Batra, Dishita SehgalPia Batra"
Parmanu: The Story of Pokhran,tt6826438,2018,7.6,"Action, Drama, History","John AbrahamCapt. Ashwat Rana, Boman IraniHimanshu Shukla, Diana PentyCapt. Ambalika"
The Namesake,tt0433416,2006,7.5,Drama,"Kal PennNikhil a.k.a. Gogol, Irrfan KhanAshoke, TabuAshima"
Secret Superstar,tt6108090,2017,7.8,"Drama, Music","Zaira WasimInsia, Meher VijNajma, Raj ArjunFarookh"
Omkara,tt0488414,2006,8.0,"Action, Crime, Drama","Ajay DevgnOmi Shukla(as Ajay Devgan)…, Kareena KapoorDolly Mishra, Saif Ali KhanLangda Tyagi…"
"The Good, the Bad and the Ugly",tt5083572,2015,7.5,"Short, Action, Fantasy","Troy ManningThe Bad, Wolfgang MoserThe Good, Joe PalermoKiller"
Hum Aapke Hain Koun...!,tt0110076,1994,7.5,"Comedy, Drama, Musical","Madhuri DixitNisha Choudhury, Salman KhanPrem Nath, Mohnish BehlRajesh Nath"
Sonu Ke Titu Ki Sweety,tt7581902,2018,7.1,"Comedy, Romance","Kartik AaryanSonu Sharma, Nushrratt BharucchaSweety Sharma(as Nushrat Bharucha), Sunny SinghTitu Sharma"
FBI: Most Wanted,tt9742936,2020– ,6.9,"Action, Crime, Drama","Roxy SternbergSpecial Agent Sheryll Barnes86 eps • 2020–202486 episodes • 2020–2024, Keisha Castle-HughesSpecial Agent Hana Gibson86 eps • 2020–202486 episodes • 2020–2024, Alexa DavalosSpecial Agent Kristin Gaines44 eps • 2021–202344 episodes • 2021–2023"
Jab Harry Met Sejal,tt5997666,2017,5.1,"Comedy, Drama, Romance","Shah Rukh KhanHarinder 'Harry' Singh Nehra, Anushka SharmaSejal Zaveri, Björn FreibergBar Guy"
Ramleela,tt5365246,2015,5.9,"Comedy, Drama","Chiranjeevi SarjaRam, AmulyaChandrakala, UrvashiBaby"
Kabhi Alvida Naa Kehna,tt0449999,2006,6.0,"Drama, Romance","Shah Rukh KhanDev Saran, Rani MukerjiMaya Talwar, Amitabh BachchanSamarjit Talwar"
Rocket Singh: Salesman of the Year,tt1434447,2009,7.5,"Comedy, Drama","Ranbir KapoorHarpreet Singh Bedi, Prem ChopraP.S. Bedi, Mukesh S. BhattChhotelal Mishra(as Mukesh Bhatt)"
Black Friday,tt11649338,2021,4.7,"Comedy, Horror","Devon SawaKen, Ivana BaqueroMarnie, Ryan LeeChris"
Dhoom,tt0422091,2004,6.6,"Action, Crime, Drama","Abhishek BachchanJai Dixit, John AbrahamKabir, Uday ChopraAli Khan"
Manjhi: The Mountain Man,tt3449292,2015,8.0,"Biography, Drama","Nawazuddin SiddiquiDashrath Manjhi, Radhika AptePhaguniya(Manjhi's Wife), Ashutosh AcharyaPhotographer"
Krrish,tt0432637,2006,6.4,"Action, Adventure, Sci-Fi","Hrithik RoshanKrishna Mehra…, Priyanka Chopra JonasPriya(as Priyanka Chopra), RekhaSonia Mehra"
Tumbbad,tt8239946,2018,8.2,"Drama, Fantasy, Horror","Sohum ShahVinayak Rao, Jyoti MalsheVinayak's Mother, Anita Date-KelkarVaidehi - Vinayak's Wife(as Anita Date)"
Kabhi Haan Kabhi Naa,tt0110222,1994,7.6,"Comedy, Drama, Music","Shah Rukh KhanSunil, Suchitra KrishnamoorthiAnna, Deepak TijoriChris(as Depak Tijori)"
Prem Ratan Dhan Payo,tt3595298,2015,4.4,"Action, Drama, Musical","Salman KhanPrem Dilwale…, Sonam KapoorMaithili, Neil Nitin MukeshYuvraj Ajay Singh"
Gol Maal,tt0079221,1979,8.5,"Comedy, Romance","Amol PalekarRam Prasad Dasharath Prasad Sharma, Bindiya GoswamiUrmila, Deven VermaSelf"
Welcome to Samdal-ri,tt26653824,2023– ,8.1,"Comedy, Drama, Romance","Ji Chang-wookCho Yong-pil16 eps • 2023–202416 episodes • 2023–2024, Shin Hye-sunCho Sam-dal16 eps • 2023–202416 episodes • 2023–2024, Kim Mi-kyungKo Mi-ja16 eps • 2023–202416 episodes • 2023–2024"
Thugs of Hindostan,tt5970844,2018,4.1,"Action, Adventure","Aamir KhanFirangi, Amitabh BachchanKhudabaksh, Lloyd OwenJohn Clive"
Guzaarish,tt1438298,2010,7.4,"Drama, Romance","Hrithik RoshanEthan Mascarenhas, Aishwarya Rai BachchanSofia D'Souza, Shernaz PatelAdvocate Devyani Dutta"
Hum Dil De Chuke Sanam,tt0150992,1999,7.4,"Comedy, Drama, Musical","Aishwarya Rai BachchanNandini(as Aishwarya Rai), Salman KhanSameer, Ajay DevgnVanraj"
Jai Ho,tt1188982,2014,5.0,"Action, Drama","Salman KhanJai Agnihotri, Daisy ShahRinky Shah, TabuGeeta"
Simmba,tt7212726,2018,5.5,"Action, Crime, Drama","Ranveer SinghInspector Sangram Bhalerao a.k.a 'Simmba', Sara Ali KhanShagun Sathe, Sonu SoodDurva Yashwant Ranade"
Beneath the Summer Skies: A Toilet Paper Love Story,tt10381178,2018,,"Short, Comedy, Drama",
Kaminey,tt1274295,2009,7.4,"Action, Crime, Drama","Shahid KapoorGuddu(as Shahid Kapur)…, Priyanka Chopra JonasSweety(as Priyanka Chopra), Deb MukherjeeMujib"
